target_id,t_host,cmd_id,speed_mps,accel_up,accel_down
CUBE_3,1762434074.686,872762dd-c7ba-4537-82a1-c26b116a57e6,4.014,1.248,2.731
CUBE_2,1762434076.392,6de13e3a-3367-4765-bb15-984c887dd7a7,2.203,2.452,2.327
CUBE_2,1762434078.307,a7a0947d-6288-4e42-a8cb-f51efd8953e4,2.866,2.838,2.730
CUBE_3,1762434081.551,a1f63dca-f179-4fcf-95e4-1fd8ea882819,3.475,1.073,2.339
CUBE_2,1762434084.215,5ab2596b-1148-4946-a994-04a4ca49e8c2,2.894,2.442,3.539
CUBE_2,1762434770.560,3b02a407-56d6-44a4-9205-4de37e988b59,4.188,1.623,2.754
CUBE_3,1762434772.716,856d1f1d-5b9e-45d0-b4e9-e1310fcb8dac,1.032,1.181,2.804
CUBE_3,1762434774.658,d1be6831-881e-4938-9987-1b1ca3b72227,3.479,2.018,3.083
CUBE_2,1762434776.702,dfd004a5-c0c4-4dda-98a3-9b319cb99904,0.603,1.576,2.093
CUBE_2,1762434779.157,40190aea-8861-4644-8028-be9789aaa356,2.625,2.590,3.160
CUBE_3,1762434782.108,92bcbc8d-844c-4609-b199-0e346b45d3d6,2.089,2.813,3.407
CUBE_2,1762434784.282,22f7f227-a82a-4e52-85ed-27e8b9156aab,4.500,2.592,2.752
CUBE_3,1762434788.252,ab0369e9-2c0d-4ff4-b407-61ab4a15fcbd,4.464,2.264,2.571
CUBE_1,1762434791.022,85774cd1-2387-45cb-b121-8c6262fe77f8,2.184,1.240,2.079
CUBE_2,1762434794.364,60f16bad-5756-48d7-aa63-8805e578556d,3.142,1.624,2.069
CUBE_1,1762434952.606,736f297a-89b4-485f-99f2-de82e969efe8,2.086,2.241,2.444
CUBE_1,1762434955.146,42f8073f-4dbf-4111-8680-69ef9ad676c2,2.440,2.026,2.956
CUBE_3,1762434958.599,d499ec2f-f482-4519-b3f2-d1c9dcfc8b20,1.913,2.611,2.201
CUBE_3,1762434961.165,35106a3a-368d-412d-aad0-b354bf0739b8,2.931,2.884,2.537
CUBE_3,1762434964.861,23daaec0-6edc-481b-b822-d39bb9080745,2.044,2.351,3.787
CUBE_3,1762434967.874,76db3f6e-f7ae-4fb9-b46b-b0c89964a839,2.025,2.461,3.326
CUBE_3,1762434970.843,44755ae5-193e-441d-a6c9-245ed617df81,2.115,2.058,2.395
CUBE_1,1762434974.011,99ad07f5-43bd-4995-9550-437ec5727b05,1.093,2.537,3.657
CUBE_3,1762434976.302,f448d2bd-622a-4436-a1c1-9d7a5b59ec49,3.691,1.316,2.487
CUBE_2,1762434978.333,4ab32fd5-b37f-4911-a216-3a4000e3ed06,0.748,1.315,3.842
CUBE_2,1762434980.204,cfd56f04-5e97-4d3c-91b8-1d002e3df081,3.913,1.037,3.425
CUBE_2,1762434982.012,505de9e1-571e-47e0-8f8a-f83124fdaf10,1.914,1.089,2.111
CUBE_2,1762434984.146,26b4d43d-bbb4-4ef7-8f0b-342d35cae2cf,0.271,2.218,2.243
CUBE_3,1762434987.026,65ff7c87-5809-4fb8-be02-2462efc2a963,1.865,2.527,2.457
CUBE_2,1762434989.482,ceb708cb-0ab2-4a7f-b615-fbb1b7f8459a,0.270,2.923,3.718
CUBE_3,1762434991.476,cd1e9c85-eda0-4626-a2ff-176e869e9e71,3.981,2.117,2.656
CUBE_2,1762434993.527,b9010b1e-dece-4598-90ec-18cbf50d5545,3.678,2.329,2.341
CUBE_3,1762434996.881,1d55a1d5-ae18-4449-b466-b6f27f2f3631,0.790,1.545,3.832
CUBE_3,1762435000.113,51fc6df3-2a27-48cb-bb4e-eba9ae6eb080,3.829,2.380,3.377
CUBE_2,1762435003.606,187c805b-fcaf-4565-8790-cf68fb12f83f,1.453,1.719,3.920
CUBE_2,1762435007.556,ecb2910b-3249-4447-b419-179c263b5d42,1.518,2.752,3.654
CUBE_1,1762435011.037,10458888-1fe7-4f38-8e88-651d901df51a,3.028,1.462,3.683
CUBE_1,1762435012.913,6c00fa40-ffa2-484c-adbc-555c3d649d1f,0.679,2.532,2.633
CUBE_2,1762435014.919,6e01743f-4bf1-4765-8638-fb353108ba9f,3.420,2.129,3.858
CUBE_1,1762435021.754,2581001a-0832-42e9-8e40-a9faac84e584,2.560,1.184,2.788
CUBE_2,1762435025.614,b8e04382-7981-4f31-bb65-f70e435e46cf,2.462,1.120,3.666
CUBE_1,1762435027.221,ef4544f6-1c0c-4126-80d4-3a676a3522a0,3.283,1.741,2.182
CUBE_2,1762435029.911,df613fd2-e714-40f1-b2be-bcced1c63652,4.268,1.022,3.586
CUBE_1,1762435032.221,22101740-13aa-46f0-b297-c46d943bec0c,1.776,2.816,2.806
CUBE_1,1762435034.077,e3871edf-21c2-41dc-b5e5-9705998ddb30,1.057,2.344,2.120
CUBE_1,1762435042.947,1cd25674-b570-485c-bbe2-d2a33107f17f,2.117,1.471,2.515
CUBE_1,1762435046.460,f5839029-a4fa-471d-af42-32bd1f6cb0d8,1.475,2.969,3.178
CUBE_1,1762435050.285,4235dd62-22ac-4459-9854-4665ae30fc68,0.546,1.843,3.648
CUBE_2,1762435052.994,acb48965-10b7-4b5a-8da4-3c8ad28c36ae,3.847,2.022,3.244
CUBE_2,1762435055.679,595cb3c8-111c-4308-823a-cf12579f6474,3.959,2.873,3.523
CUBE_1,1762435059.171,3242548e-2943-4270-92e7-8eedeb89754d,0.626,2.531,3.460
CUBE_1,1762435061.490,e05d9aee-9f7d-4e02-a3f1-fefe270cfd2f,0.635,2.978,2.710
CUBE_2,1762435063.549,211103a3-010a-4673-b39e-e00e4dc2e798,1.412,2.702,2.187
CUBE_2,1762435066.154,17f32f21-e621-41d1-b76a-b55d406f52e8,3.482,1.347,2.860
CUBE_2,1762435067.984,6720c8d8-ccf3-4eca-82f0-61f5a70d5045,1.991,1.846,3.032
CUBE_2,1762435069.797,e73a376e-b74c-476b-9cfc-03d49218e5da,2.108,2.849,3.387
CUBE_1,1762435073.609,6ea6a59e-d9ee-4c69-9be6-1afe49feff23,0.411,2.807,2.731
CUBE_1,1762435075.668,de4d3568-b5d3-452e-9a6f-52421a8635ac,1.774,1.704,3.783
CUBE_1,1762435078.568,f3ae5c13-4d82-497a-9048-a1c96ca942b0,0.584,1.554,2.070
CUBE_1,1762435080.183,5f3fd852-fff5-4fce-b7dc-ec6eb7462bd1,4.142,1.764,3.986
CUBE_1,1762435082.497,fece59ce-6e76-4de0-8534-5dff72cf6d89,1.902,2.009,2.567
CUBE_1,1762435084.039,88123365-cb93-4732-92cc-2d698fbd4a6c,1.800,2.488,2.971
CUBE_2,1762435087.608,d58e856a-c131-440e-8f12-0bb7595cfe49,0.481,1.739,3.180
CUBE_3,1762435090.566,cff9b7f9-ffce-4535-a95b-2b260ce09b26,1.754,2.105,2.646
CUBE_2,1762435094.486,411793c9-1df9-4dd0-9e25-bac3bf2010ea,2.408,1.632,3.271
CUBE_2,1762435098.277,1ef9f2dc-1bab-4a4b-add4-cd18834442a7,3.115,2.426,2.302
CUBE_2,1762435101.300,383bad9b-cdcf-459c-93e6-54845ff75f32,2.356,2.148,2.321
CUBE_3,1762435105.301,045eef8b-b0c6-416a-bdd7-32cf36c40e40,4.123,1.495,2.103
CUBE_2,1762435106.901,d2b5af5d-c593-4878-88f1-f82ef0cd4fe1,1.675,1.044,3.785
CUBE_2,1762435110.336,29d35f82-771b-457e-a80a-954e9b090768,1.114,1.390,3.679
CUBE_3,1762435112.537,0e5b5ff3-e569-4f88-946b-2345f1ba3982,1.935,1.379,2.789
CUBE_2,1762435114.195,4b5dcd0a-e618-41a8-a640-ab84a955a6f0,4.336,1.569,2.373
CUBE_2,1762435116.041,7872c790-fa4c-4274-b2b7-695101a01ecb,2.746,2.937,3.037
CUBE_2,1762435118.448,472c1722-a725-42ab-8dd9-ece2e6fd059f,2.540,2.433,2.628
CUBE_2,1762435503.888,312887f9-d658-4c5a-bd06-4c0aedca7c3d,1.502,2.150,3.353
CUBE_3,1762435507.157,d540239f-bea8-485b-addd-12c09dcb6b68,3.258,2.489,2.683
CUBE_3,1762435509.819,0a1bf851-e3d9-43ad-92d7-60f336341837,3.834,1.979,2.173
CUBE_3,1762435513.435,92f1d56f-5341-4f8c-981e-b7e71b3a9984,0.226,2.574,3.592
CUBE_2,1762435514.943,ebc9f3fd-a2a3-45c1-8b1f-accaf6530fcb,1.599,1.174,3.169
CUBE_2,1762435517.941,af273b4f-3006-486a-bff8-150cc687db36,3.477,1.643,3.681
CUBE_3,1762435520.393,3a8ff267-ecf6-41ca-ace9-477e13c04bb3,4.228,1.246,2.619
CUBE_3,1762435522.246,cb360938-ca9b-4170-8d9b-768ed10c1e58,0.203,2.272,2.403
CUBE_2,1762435526.116,9420243e-eb13-43a9-86ed-388c371abcad,3.917,1.819,2.931
CUBE_3,1762435528.786,0ffbc895-f4f0-404f-9743-44ca45ae948b,2.103,2.338,2.567
CUBE_2,1762435530.952,864b8c9a-93fd-4d40-9d35-e6d8f3b71b7a,1.769,2.234,2.799
CUBE_2,1762435533.673,8c9e919a-ba4d-4c03-a492-709b266d445c,2.692,1.132,2.516
CUBE_3,1762435536.600,d184c83c-8567-4bd3-aabc-135b4fd49317,3.842,2.479,3.303
CUBE_1,1762435539.324,9472cdcb-2e00-4ec1-a32d-bbe2de46d182,1.142,2.936,3.107
CUBE_1,1762435542.869,957047b0-ac52-4ad4-a396-69e624824c7c,0.321,2.176,2.721
CUBE_2,1762435546.081,fa7a18cc-29c5-4cc1-85c6-d35a30d18ba5,3.356,2.529,3.255
CUBE_1,1762435550.049,600fe275-791a-4638-9dae-32889d391a78,0.884,2.357,3.620
CUBE_1,1762435552.114,f67dbe93-261f-4c32-a574-d1c2f6a9fd8d,2.939,2.953,2.168
CUBE_2,1762435554.831,7c853f34-c377-4c85-99de-34da1b0833e3,3.501,2.823,3.066
CUBE_3,1762435607.273,d869192c-93d6-44c5-a062-c0b7760f4829,1.863,1.907,2.655
CUBE_3,1762435609.679,f07d4e1e-a962-4f52-9906-0597fbf193c2,0.854,2.160,3.465
CUBE_1,1762435612.120,f5ceaec8-622f-4f34-a5aa-2e6152e080a6,4.460,1.550,2.487
CUBE_1,1762435614.688,0c0f8be6-9626-4888-a34d-c6d15c41a98f,2.852,2.094,3.324
CUBE_1,1762435622.288,9cc01c14-26b2-4d5a-925a-b53919f3240d,4.494,2.008,2.707
CUBE_1,1762435625.835,4e38d9c0-f58f-43bf-af59-4bf16cc4635d,2.779,2.946,3.221
CUBE_3,1762435629.578,934d6f7f-2767-480c-b97d-08ab34d45835,2.192,1.134,2.161
CUBE_2,1762435631.936,a93a5d52-d61b-4e02-9df9-8fdddb5d5c48,4.001,2.968,3.771
CUBE_2,1762435635.338,ac8c1376-c791-4cb5-b8f0-4549852b7d24,2.715,1.125,3.174
CUBE_2,1762435637.888,7b08ed03-95e9-4efa-a221-0bd98e694efc,3.731,2.197,2.717
CUBE_3,1762435639.460,1c39ddd7-a06d-4090-8574-88380dfa5b02,1.732,2.210,2.991
CUBE_2,1762435641.747,4eb585f7-6e94-44cf-87f8-50dcaa0341cc,1.755,2.608,2.607
CUBE_3,1762435643.678,070b4aa1-b1d8-48bd-b8a0-3ae656d14e72,0.305,2.636,2.384
CUBE_2,1762435645.466,fbf30f97-a3f7-4e37-a130-27457d3a69bb,3.025,2.776,3.857
CUBE_3,1762435648.547,232a003e-17be-4530-a09f-8902ba715792,2.891,1.851,3.973
CUBE_3,1762435651.684,bbaf1c16-0da4-4e40-9193-5ce13416e10d,0.957,1.326,2.098
CUBE_3,1762435655.478,2d795897-1445-4231-a197-0affb9c019be,1.892,2.367,3.959
CUBE_2,1762435659.281,a682771e-df1a-4b48-92a1-c62cec64984d,4.332,2.329,3.069
CUBE_2,1762435910.140,4a613c4d-b05d-4d56-b53d-fa35cb611d7b,0.477,1.048,3.521
CUBE_2,1762435912.379,b38cb891-f140-4c65-b36a-b78f435d35ea,4.412,2.271,2.226
CUBE_1,1762435914.941,d9da60da-e139-4999-958a-61ae6157912a,2.905,1.337,3.091
CUBE_2,1762435917.066,3ecd775e-8a19-4c90-900d-798d5f56a23c,0.828,1.355,2.801
CUBE_1,1762435919.656,4126db1d-fee9-46b2-89a2-27111033b8ee,2.265,1.351,2.755
CUBE_1,1762435922.606,0e069912-2dfa-4140-bf74-46212611ef8e,4.450,1.225,2.135
CUBE_2,1762435926.235,be8fd51b-d5ae-4195-9e67-4d66772c0173,3.011,1.469,2.387
CUBE_2,1762435928.161,93c0d5e8-e4d0-476b-814c-cc69df6b8a75,2.942,2.120,3.762
CUBE_3,1762435930.865,87714f74-04bc-4ed9-9574-d37486069d24,0.549,1.954,2.009
CUBE_2,1762435933.424,1da5c868-2089-4263-a5f4-28868d8903aa,3.187,1.143,3.672
CUBE_3,1762435937.198,0f4e5ba3-0604-4831-817c-eed9d7373f9a,1.014,2.686,3.823
CUBE_2,1762435939.858,5f9ea192-ad35-4044-a361-fb6ed273abad,1.325,1.842,2.344
CUBE_3,1762435942.071,d0be149f-aecf-40ba-8995-dbd73502486c,4.080,2.236,3.255
CUBE_3,1762435944.646,d392aab0-e792-4281-9357-114a7d4e0a1b,4.074,1.392,2.556
CUBE_3,1762435948.479,ab7adc09-62b6-4fd0-ad44-7c058c805510,1.355,1.964,2.788
CUBE_3,1762435951.871,587ddca2-28a2-4f02-9a39-5435ab68ddc1,2.648,1.914,3.042
CUBE_3,1762435954.906,a6a6146e-cb5c-4457-965c-f6240fa679c9,1.856,1.816,2.325
CUBE_2,1762435958.036,00954d58-709c-45b8-883f-5d0ba6e58a2f,0.793,2.106,3.160
CUBE_2,1762435961.642,64cc6b95-f6a8-46d0-8e2c-d35c0fc7423e,3.457,2.972,3.380
CUBE_1,1762435963.758,3af67a16-9187-4bbe-8b85-7d78c8b98b3a,3.047,2.779,2.530
CUBE_1,1762435966.619,70f4efc2-5a11-4f16-a9c4-e3337cd903f9,1.464,1.233,3.294
CUBE_2,1762435968.942,ee7e4db8-5917-4ea5-b023-48092909100c,0.624,1.834,3.447
CUBE_2,1762435970.936,476a3e20-68f8-4e0c-b3ae-ad53209a4616,1.936,1.935,3.845
CUBE_2,1762435974.625,9e01c5cc-3f1b-4beb-bc24-9432d12d2481,3.578,1.549,2.957
CUBE_2,1762435978.379,065a7a6f-a21d-4049-8095-5ef282b56443,3.243,1.715,3.109
CUBE_1,1762435981.756,f2823928-cb45-4670-bb0c-dcf06ab58dde,2.811,1.290,2.399
CUBE_1,1762435983.326,98e60efd-a5fc-43e3-9df1-7b16f9fb153f,2.684,1.237,2.881
CUBE_2,1762435986.250,53e5d44f-7a81-4730-b164-24c55cde0782,0.445,1.255,2.620
CUBE_2,1762435989.888,20c02868-77e5-49d4-ba1c-7b3a34550c4a,2.518,1.091,3.546
CUBE_2,1762435993.109,e1441e2f-f5c1-49b6-8c61-57fe9620267d,1.695,1.814,2.396
CUBE_2,1762435994.812,0b6aca8f-c3de-4bd1-a851-45600f6bd3d7,3.665,1.596,3.549
CUBE_2,1762435997.988,a9f7acf2-cd34-4b02-8689-d0b31c2c7bfa,3.750,2.429,2.888
CUBE_2,1762436000.372,2426e3e8-c65f-4abb-b95c-b7c15a5eba98,1.368,1.278,3.972
CUBE_3,1762436004.341,20635281-d284-4d6b-8513-1f5316174cb5,3.157,1.954,3.785
CUBE_2,1762436007.547,45a1935f-c3e2-47c2-8744-a2d3a0895e9f,2.527,1.403,2.617
CUBE_3,1762436010.316,6f6e2f1e-bc20-4d71-b275-a93360ff3d5e,1.653,2.430,2.037
CUBE_3,1762436012.364,4d0b2381-8e88-469b-83f0-fa1d6613c07e,0.665,1.889,3.768
CUBE_2,1762436014.162,2adfe766-37a1-4bce-aff1-37cc4c8d0f0e,2.024,2.708,2.031
CUBE_2,1762436017.763,f4661091-70d2-49e6-ba27-7e6f778ccdef,4.287,1.557,3.926
CUBE_3,1762436019.631,ee475e78-7070-497f-be7e-7a93352510ac,3.204,1.762,3.401
CUBE_3,1762436021.419,c2d78d5a-ce8f-49c0-a305-8a831a3ef98a,2.662,1.867,2.105
CUBE_3,1762436024.149,1f4628f0-f67d-42d4-ad1f-08b476f8fab8,1.282,1.107,3.142
CUBE_3,1762436027.374,cea2e73f-7c2c-449c-b7b2-2499998becab,1.634,2.115,2.575
CUBE_3,1762436030.613,936ec5ba-aee3-454b-8f05-f0417969c373,1.971,1.914,3.698
CUBE_3,1762436032.605,579c18e9-b75a-4d76-bfdb-d217c9c5215e,3.782,1.039,3.346
CUBE_1,1762436035.963,682fe4dd-e330-41ba-80d8-cfb9f50ab051,1.185,2.253,2.190
CUBE_1,1762436039.034,deaf7263-4229-4da6-9be8-5512cc54f29a,3.963,2.033,2.442
CUBE_3,1762436040.770,44d44824-34aa-46d2-a7b1-c0dc0cea6bb5,1.980,2.347,3.998
CUBE_3,1762436042.565,5e7880f7-d5ea-44dc-a3b3-90dc3f1e9684,3.990,1.391,3.248
CUBE_3,1762436044.150,46faa587-7dcd-45dc-8766-e006eaef087e,0.293,1.612,3.247
CUBE_1,1762436047.136,0268de8f-91e9-4f5a-ba15-e73393acf41f,2.062,1.184,3.509
CUBE_1,1762436049.287,08f0102d-deb6-4e9a-8e16-97bb6a59f6b3,2.063,2.755,2.857
CUBE_1,1762436053.259,e55c1a4b-b5eb-441e-bf96-f064b782ced0,3.611,2.920,3.261
CUBE_1,1762436057.205,496ce797-5b2c-42fc-89a1-aa567e8088a0,1.036,1.530,3.518
CUBE_1,1762436058.785,ecf12e25-68c5-40e9-8eb8-40bc68c9cd3a,2.269,1.696,3.903
CUBE_1,1762436061.847,95a3b287-e92d-4f74-865d-287c76f9ff84,4.025,1.023,2.585
CUBE_1,1762436065.568,0f247579-a754-4791-b1c1-57fbf0f5457f,1.969,1.365,3.032
CUBE_3,1762436067.076,27a59c8c-bab3-4a3d-ba71-516dff839c06,4.029,1.810,3.426
CUBE_3,1762436068.878,118505d2-4dab-460f-86cc-a61326e25615,2.212,1.623,2.272
CUBE_3,1762436072.315,27a45ac2-7cf9-4a7d-991f-2daedfa9fc4a,1.498,2.346,2.634
CUBE_3,1762436076.015,24c799fa-c0c3-4d15-aab0-f66dcf5777d5,1.207,1.988,2.785
CUBE_1,1762436078.690,b10985dd-c496-4910-8f8a-8fc71e4b4048,2.649,2.593,2.600
CUBE_1,1762436081.239,8271a009-68b9-44a6-a784-fd8759418a29,1.604,1.787,3.451
CUBE_1,1762436083.213,efa15699-833d-4ee4-b293-b0b60f820160,2.197,1.377,3.082
CUBE_1,1762436086.175,adca25a2-8ed4-4bc9-b653-9b39b46ba5d8,0.510,2.470,3.108
CUBE_1,1762436088.768,34afe311-769e-47f3-9ce9-da4eb2d8c846,1.387,1.373,2.512
CUBE_1,1762436090.650,6c38c798-b80f-4724-ab42-1803acde18dd,3.847,1.303,2.240
CUBE_3,1762436092.673,68674820-1f51-46cb-b896-c58be53b14ea,4.215,2.383,2.735
CUBE_1,1762436094.796,d009759f-8e24-4a15-9096-1411523fb1cc,2.655,2.373,3.894
CUBE_1,1762436097.768,0fb2bd82-5d9d-447d-a0b7-bbac6acb5ec1,0.902,2.527,3.015
CUBE_1,1762436101.030,28fe0bbd-a27b-4769-9e9e-c98fc1b7f4f8,0.541,2.115,3.955
CUBE_1,1762436104.346,f4ff28af-067e-41e8-a68a-60280b5424c1,3.426,1.594,2.520
CUBE_1,1762436106.126,b62365e6-5c06-465b-b740-42292427e528,3.730,1.368,3.580
CUBE_2,1762436109.735,6cecf0ec-ce31-49d0-9528-415f22024a2c,1.972,2.351,3.266
CUBE_2,1762436113.592,7059c743-b767-44e2-86fb-2bd714c1c58c,2.383,1.962,2.566
CUBE_3,1762436115.106,337a914b-9d54-4190-9e85-4d3de348f1f6,3.161,1.805,3.781
CUBE_3,1762436118.112,abe64df5-8a77-4458-a755-302206d64a7f,0.969,1.015,3.852
CUBE_2,1762436120.684,edd275bb-5d89-4c22-ad63-7d68eea97ba0,0.212,2.210,2.388
CUBE_3,1762436124.113,fb83212d-071b-4451-813e-56561762018b,0.623,1.398,2.870
CUBE_2,1762436126.091,92756e07-8fe3-4748-abfd-1fcffcb82f27,3.017,2.759,3.451
